LOVID,LOVName,value
Eco_LOV_1574,Valve Type,Angle Supply Stop Valve
Eco_LOV_1574,Valve Type,Detector Check Valve
Eco_LOV_1574,Valve Type,Meter Angle Key Valve
Eco_LOV_1574,Valve Type,Orifice Valve
Eco_LOV_1574,Valve Type,Kornerhorn Ball Valve
Eco_LOV_1574,Valve Type,Swing Check Valve
Eco_LOV_1574,Valve Type,Straight Ball Service Valve
Eco_LOV_1574,Valve Type,Digital Control Valve
Eco_LOV_1574,Valve Type,Disc Valve
Eco_LOV_1574,Valve Type,Reduced Pressure Backflow Preventer
Eco_LOV_1574,Valve Type,Air Release & Vacuum Valve
Eco_LOV_1574,Valve Type,Sillcock Valve
Eco_LOV_1574,Valve Type,Modular Valve
Eco_LOV_1574,Valve Type,Gate Valve
Eco_LOV_1574,Valve Type,Angle Stop Valve
Eco_LOV_1574,Valve Type,Manual Air Venting Valve
Eco_LOV_1574,Valve Type,Cartridge Dual Check Valve
Eco_LOV_1574,Valve Type,Relief Valve
Eco_LOV_1574,Valve Type,Deluge Valve
Eco_LOV_1574,Valve Type,Skim Valve
Eco_LOV_1574,Valve Type,Rite Temp
Eco_LOV_1574,Valve Type,Blowdown Valve
Eco_LOV_1574,Valve Type,Ball Check Valve
Eco_LOV_1574,Valve Type,Zone Valve
Eco_LOV_1574,Valve Type,Flow Control Valve
Eco_LOV_1574,Valve Type,Butterfly Valve
Eco_LOV_1574,Valve Type,Bypass Valve
Eco_LOV_1574,Valve Type,Corporation Valve
Eco_LOV_1574,Valve Type,Air Valve
Eco_LOV_1574,Valve Type,Pressure Reducing Sprinkler Valve
Eco_LOV_1574,Valve Type,Diverter Rough Valve
Eco_LOV_1574,Valve Type,Gas Ball Valve
Eco_LOV_1574,Valve Type,Drain Cock
Eco_LOV_1574,Valve Type,BFP Vacuum Breaker
Eco_LOV_1574,Valve Type,Stop Check Valve
Eco_LOV_1574,Valve Type,Packed Valve
Eco_LOV_1574,Valve Type,Gas Regulator Valve
Eco_LOV_1574,Valve Type,Pressure Vacuum Breaker Assembly
Eco_LOV_1574,Valve Type,Pressure Reducing Gas Regulator
Eco_LOV_1574,Valve Type,Self-Tapping Needle Valve
Eco_LOV_1574,Valve Type,Powerball Valve
Eco_LOV_1574,Valve Type,Key Valve Curb Stop
Eco_LOV_1574,Valve Type,Quake Valve
Eco_LOV_1574,Valve Type,Solenoid Valve
Eco_LOV_1574,Valve Type,Thermostatic Valve
Eco_LOV_1574,Valve Type,Exposed Valve
Eco_LOV_1574,Valve Type,Draw Off Valve
Eco_LOV_1574,Valve Type,Volume Control Valve
Eco_LOV_1574,Valve Type,Lavatory Faucet Valve
Eco_LOV_1574,Valve Type,Toggle Valve
Eco_LOV_1574,Valve Type,Speed Control Valve
Eco_LOV_1574,Valve Type,Angle Meter Valve
Eco_LOV_1574,Valve Type,Low Lead Ball Valve
Eco_LOV_1574,Valve Type,Piercing Valve
Eco_LOV_1574,Valve Type,Angle Globe Valve
Eco_LOV_1574,Valve Type,Radiator Valve
Eco_LOV_1574,Valve Type,Sprinkler Control Valve
Eco_LOV_1574,Valve Type,Waste Valve
Eco_LOV_1574,Valve Type,Log Lighter Valve Flange
Eco_LOV_1574,Valve Type,Lavatory Rough-In Valve
Eco_LOV_1574,Valve Type,Isolation Valve
Eco_LOV_1574,Valve Type,Pressure Regulator Valve
Eco_LOV_1574,Valve Type,Groove Valve
Eco_LOV_1574,Valve Type,Mechanical Mixing Valve
Eco_LOV_1574,Valve Type,Yoke Angle Compression Valve
Eco_LOV_1574,Valve Type,Oil Tank Valve
Eco_LOV_1574,Valve Type,Straight Supply Stop Valve
Eco_LOV_1574,Valve Type,Tank Valve
Eco_LOV_1574,Valve Type,4-Way Valve
Eco_LOV_1574,Valve Type,Angle Stop Adapter Valve
Eco_LOV_1574,Valve Type,Pressure Reducing Valve
Eco_LOV_1574,Valve Type,Angle Valve
Eco_LOV_1574,Valve Type,Excess Flow Valve
Eco_LOV_1574,Valve Type,Gas Plug Valve
Eco_LOV_1574,Valve Type,Bidet Rough Valve
Eco_LOV_1574,Valve Type,Plug Valve
Eco_LOV_1574,Valve Type,Silent Check Valve
Eco_LOV_1574,Valve Type,Hydronic Mixing Valve
Eco_LOV_1574,Valve Type,Snifter Valve
Eco_LOV_1574,Valve Type,Hose Bibb
Eco_LOV_1574,Valve Type,Straight Check Valve
Eco_LOV_1574,Valve Type,Double Check Valve Assembly
Eco_LOV_1574,Valve Type,Anti-Siphon Check Valve
Eco_LOV_1574,Valve Type,Thermostatic Mixing Valve
Eco_LOV_1574,Valve Type,Gas Valve
Eco_LOV_1574,Valve Type,Water Heater Valve
Eco_LOV_1574,Valve Type,Air Cock
Eco_LOV_1574,Valve Type,Angle Key Valve
Eco_LOV_1574,Valve Type,Electric Valve
Eco_LOV_1574,Valve Type,Knife Gate Valve
Eco_LOV_1574,Valve Type,Inline Air Vent Valve
Eco_LOV_1574,Valve Type,Sprinkler Valve
Eco_LOV_1574,Valve Type,Thermostat Mixing Valve
Eco_LOV_1574,Valve Type,Directional Control Valve
Eco_LOV_1574,Valve Type,Hydrant Backflow Meter Assembly
Eco_LOV_1574,Valve Type,Frost Proof Wall Hydrant
Eco_LOV_1574,Valve Type,Expansion Valve
Eco_LOV_1574,Valve Type,Reduced Pressure Principle Assembly
Eco_LOV_1574,Valve Type,Thermal Balancing Valve
Eco_LOV_1574,Valve Type,Test Cock
Eco_LOV_1574,Valve Type,Yoke Angle Plug Valve
Eco_LOV_1574,Valve Type,Duckbill Valve
Eco_LOV_1574,Valve Type,Post Indicator Valve
Eco_LOV_1574,Valve Type,Piston Valve
Eco_LOV_1574,Valve Type,Air Release Valve
Eco_LOV_1574,Valve Type,Dry Pipe Valve
Eco_LOV_1574,Valve Type,Double Check Valve
Eco_LOV_1574,Valve Type,Straight Valve
Eco_LOV_1574,Valve Type,Double Check Detector Assembly
Eco_LOV_1574,Valve Type,Waterworks Tapping Valve
Eco_LOV_1574,Valve Type,Globe Valve
Eco_LOV_1574,Valve Type,Reversing Valve
